# PID,ArrivalTime,InstructionCount
0,1,1
1,1,1
2,3,1
3,3,1
4,4,1
5,5,1
6,5,1
7,5,1
8,5,1
9,6,1
10,7,1
11,7,1
12,9,1
13,9,1
14,9,1
15,10,1
16,10,1
17,10,1
18,10,1
19,10,1
20,11,1
21,12,1
22,12,1
23,12,1
24,13,1
25,13,1
26,13,1
27,14,1
28,14,1
29,15,1
30,16,1
31,20,1
32,21,1
33,21,1
34,21,1
35,21,1
36,22,1
37,22,1
38,22,1
39,23,1
40,23,1
41,23,1
42,23,1
43,24,1
44,24,1
45,25,1
46,25,1
47,26,1
48,26,1
49,26,1
50,26,1
51,27,1
52,27,1
53,27,1
54,28,1
55,28,1
56,29,1
57,29,1
58,29,1
59,29,1
60,29,2
61,30,1
62,30,1
63,30,1
64,30,1
65,31,1
66,32,1
67,32,1
68,32,1
69,32,1
70,33,1
71,33,1
72,33,1
73,34,1
74,34,1
75,34,1
76,34,1
77,35,1
78,35,1
79,35,1
80,35,1
81,35,1
82,36,1
83,36,1
84,36,1
85,36,1
86,37,1
87,38,1
88,38,1
89,38,1
90,38,1
91,38,1
92,39,1
93,40,1
94,41,1
95,41,5
96,41,1
97,42,1
98,42,1
99,43,1
100,43,1
101,44,1
102,44,1
103,45,1
104,45,1
105,47,1
106,48,1
107,48,1
108,49,1
109,49,1
110,49,1
111,49,1
112,50,1
113,50,1
114,50,1
115,53,1
116,54,1
117,56,1
118,56,1
119,56,1
120,57,1
121,57,1
122,58,1
123,58,1
124,58,1
125,59,1
126,59,1
127,59,1
128,60,2
129,60,1
130,61,1
131,62,1
132,63,1
133,63,1
134,65,1
135,66,1
136,66,1
137,66,1
138,67,1
139,67,1
140,68,1
141,69,1
142,70,1
143,70,1
144,70,1
145,71,1
146,71,1
147,72,1
148,72,1
149,72,1
150,73,1
151,73,1
152,74,1
153,75,1
154,75,1
155,75,1
156,75,1
157,75,1
158,76,1
159,76,1
160,77,1
161,77,1
162,78,1
163,78,1
164,78,1
165,79,1
166,79,1
167,79,2
168,79,1
169,81,1
170,81,1
171,82,1
172,82,1
173,82,1
174,83,1
175,86,1
176,88,1
177,90,1
178,90,1
179,91,1
180,91,1
181,91,1
182,92,1
183,92,1
184,92,1
185,93,1
186,93,1
187,93,1
188,94,1
189,94,1
190,95,1
191,95,2
192,96,1
193,96,1
194,98,1
195,99,1
196,101,1
197,101,1
198,102,1
199,102,1
200,102,1
201,103,1
202,103,1
203,104,1
204,104,1
205,104,1
206,104,1
207,104,1
208,106,1
209,106,1
210,107,1
211,108,1
212,108,1
213,109,1
214,109,3
215,109,1
216,109,1
217,109,1
218,110,1
219,110,1
220,111,2
221,112,1
222,112,1
223,113,1
224,113,1
225,113,1
226,114,1
227,114,1
228,114,1
229,115,1
230,115,1
231,116,1
232,116,1
233,116,1
234,117,1
235,117,1
236,118,1
237,118,1
238,118,1
239,118,1
240,119,1
241,119,1
242,120,1
243,120,1
244,121,1
245,122,1
246,122,1
247,123,1
248,123,1
249,125,1
250,125,1
251,126,1
252,126,1
253,126,1
254,127,1
255,128,1
256,128,1
257,128,2
258,129,1
259,130,1
260,130,1
261,130,1
262,132,1
263,133,1
264,133,1
265,134,1
266,137,1
267,138,1
268,138,1
269,138,1
270,138,1
271,138,1
272,138,1
273,139,1
274,139,1
275,141,1
276,141,1
277,141,1
278,142,1
279,142,1
280,142,1
281,143,1
282,143,1
283,143,1
284,144,1
285,144,1
286,145,1
287,145,1
288,146,1
289,146,1
290,147,1
291,147,1
292,147,1
293,147,1
294,147,1
295,148,1
296,148,1
297,149,1
298,149,1
299,149,1
300,150,2
301,151,1
302,151,1
303,152,1
304,152,1
305,153,1
306,154,1
307,154,1
308,156,1
309,156,1
310,157,1
311,157,1
312,157,1
313,158,1
314,158,1
315,158,1
316,158,1
317,159,1
318,159,1
319,159,1
320,160,1
321,160,1
322,161,1
323,162,1
324,162,1
325,162,1
326,162,1
327,163,3
328,163,1
329,164,1
330,164,1
331,164,1
332,165,1
333,165,1
334,165,1
335,166,1
336,166,1
337,166,1
338,167,1
339,167,1
340,167,1
341,168,1
342,169,1
343,170,1
344,170,1
345,170,1
346,171,5
347,171,1
348,173,1
349,173,1
350,174,1
351,174,1
352,174,1
353,174,1
354,174,1
355,175,1
356,175,1
357,176,1
358,177,1
359,177,1
360,178,2
361,179,1
362,179,1
363,179,1
364,180,1
365,181,1
366,181,1
367,182,1
368,183,1
369,183,3
370,184,1
371,186,1
372,186,1
373,186,1
374,186,1
375,187,1
376,189,1
377,189,1
378,190,1
379,190,1
380,190,1
381,191,1
382,192,1
383,193,1
384,193,1
385,193,1
386,193,1
387,194,1
388,194,1
389,194,1
390,194,1
391,194,1
392,194,1
393,195,1
394,195,1
395,195,1
396,195,1
397,195,1
398,195,1
399,196,1
400,196,1
401,196,1
402,196,1
403,196,1
404,198,1
405,199,1
406,199,1
407,200,1
408,200,1
409,200,1
410,200,1
411,201,1
412,201,1
413,201,1
414,201,1
415,202,1
416,203,1
417,204,1
418,205,1
419,206,1
420,206,1
421,206,1
422,206,1
423,207,1
424,207,1
425,207,1
426,208,1
427,208,1
428,208,1
429,209,1
430,209,1
431,210,1
432,212,1
433,212,1
434,212,1
435,212,1
436,212,1
437,213,1
438,214,1
439,214,1
440,214,1
441,215,1
442,216,1
443,216,1
444,218,1
445,218,1
446,219,1
447,221,2
448,222,1
449,222,1
450,223,1
451,223,1
452,224,1
453,224,1
454,224,1
455,225,1
456,225,1
457,227,1
458,227,1
459,229,1
460,229,1
461,229,1
462,230,1
463,231,1
464,231,1
465,231,1
466,231,1
467,231,1
468,231,1
469,232,3
470,233,1
471,233,1
472,234,1
473,234,1
474,234,1
475,234,1
476,234,1
477,235,1
478,236,1
479,236,1
480,237,1
481,237,1
482,238,1
483,238,2
484,239,1
485,239,1
486,240,1
487,241,1
488,241,1
489,242,1
490,242,1
491,242,1
492,243,1
493,244,1
494,245,1
495,245,1
496,246,1
497,248,1
498,249,1
499,249,2
