# PID,ArrivalTime,InstructionCount
0,9,12
1,12,17
2,15,10
3,17,9
4,17,19
5,19,9
6,24,13
7,27,12
8,28,19
9,29,7
10,29,24
11,31,6
12,32,14
13,32,13
14,36,5
15,38,15
16,48,8
17,49,3
18,51,17
19,56,2
20,57,4
21,67,10
22,67,19
23,69,16
24,72,12
25,72,1
26,73,5
27,74,7
28,77,3
29,81,1
30,86,10
31,91,16
32,96,6
33,104,18
34,104,2
35,108,3
36,111,10
37,115,6
38,116,15
39,118,13
40,118,6
41,120,2
42,120,5
43,126,14
44,128,16
45,129,6
46,130,1
47,132,1
48,133,13
49,133,6
50,135,6
51,138,3
52,142,3
53,142,18
54,145,13
55,149,5
56,155,9
57,156,11
58,159,31
59,162,2
60,162,11
61,164,18
62,164,28
63,165,4
64,167,6
65,169,15
66,171,1
67,175,12
68,181,39
69,182,13
70,182,1
71,189,3
72,190,4
73,201,21
74,203,8
75,206,1
76,209,8
77,212,10
78,215,5
79,219,3
80,220,40
81,220,18
82,223,19
83,223,8
84,224,4
85,225,5
86,236,2
87,238,30
88,253,8
89,255,25
90,258,6
91,258,13
92,260,11
93,261,1
94,264,33
95,266,6
96,277,2
97,277,16
98,280,9
99,283,12
100,289,10
101,302,1
102,303,3
103,303,3
104,304,19
105,305,9
106,307,14
107,311,6
108,317,14
109,321,8
110,322,7
111,328,10
112,330,10
113,335,40
114,342,3
115,354,1
116,358,12
117,361,4
118,364,1
119,366,2
120,367,40
121,367,3
122,369,1
123,370,40
124,371,2
125,373,40
126,374,6
127,376,33
128,385,7
129,387,13
130,389,8
131,401,7
132,410,11
133,413,14
134,415,10
135,418,9
136,419,4
137,422,8
138,423,30
139,423,4
140,423,11
141,426,23
142,433,14
143,433,19
144,440,2
145,442,11
146,449,7
147,455,7
148,461,28
149,464,7
150,467,12
151,474,1
152,474,33
153,477,18
154,486,8
155,487,6
156,488,15
157,494,23
158,494,33
159,497,18
160,504,9
161,504,20
162,518,17
163,522,9
164,529,17
165,530,17
166,534,8
167,535,5
168,535,15
169,540,3
170,543,2
171,544,12
172,546,15
