# PID,ArrivalTime,InstructionCount
0,9,3
1,12,4
2,15,6
3,17,4
4,17,6
5,19,9
6,24,4
7,27,1
8,28,5
9,29,10
10,29,2
11,31,4
12,32,9
13,32,3
14,36,4
15,38,3
16,48,1
17,49,2
18,51,5
19,56,4
20,57,5
21,67,2
22,67,6
23,69,1
24,72,5
25,72,4
26,73,1
27,74,6
28,77,3
29,81,15
30,86,2
31,91,11
32,96,2
33,104,1
34,104,9
35,108,1
36,111,1
37,115,8
38,116,3
39,118,4
40,118,8
41,120,7
42,120,2
43,126,1
44,128,1
45,129,2
46,130,8
47,132,11
48,133,1
49,133,3
50,135,12
51,138,3
52,142,6
53,142,5
54,145,5
55,149,2
56,155,1
57,156,4
58,159,6
59,162,1
60,162,19
61,164,1
62,164,1
63,165,1
64,167,2
65,169,3
66,171,3
67,175,4
68,181,2
69,182,13
70,182,2
71,189,3
72,190,1
73,201,3
74,203,9
75,206,11
76,209,6
77,212,4
78,215,3
79,219,7
80,220,2
81,220,5
82,223,4
83,223,4
84,224,9
85,225,1
86,236,4
87,238,15
88,253,2
89,255,4
90,258,3
91,258,2
92,260,1
93,261,1
94,264,5
95,266,40
96,277,1
97,277,2
98,280,5
99,283,4
100,289,6
101,302,5
102,303,2
103,303,4
104,304,5
105,305,11
106,307,3
107,311,3
108,317,12
109,321,1
110,322,8
111,328,2
112,330,5
113,335,4
114,342,1
115,354,2
116,358,4
117,361,1
118,364,1
119,366,5
120,367,3
121,367,3
122,369,4
123,370,3
124,371,3
125,373,3
126,374,2
127,376,11
128,385,18
129,387,1
130,389,4
131,401,10
132,410,4
133,413,7
134,415,3
135,418,1
136,419,1
137,422,4
138,423,3
139,423,4
140,423,5
141,426,1
142,433,3
143,433,6
144,440,11
145,442,4
146,449,9
147,455,2
148,461,1
149,464,1
150,467,5
151,474,2
152,474,3
153,477,1
154,486,1
155,487,1
156,488,7
157,494,2
158,494,6
159,497,1
160,504,3
161,504,2
162,518,1
163,522,2
164,529,1
165,530,5
166,534,8
167,535,19
168,535,1
169,540,1
170,543,8
171,544,2
172,546,3
173,548,9
174,553,7
175,562,3
176,565,7
177,571,1
178,576,1
179,581,2
180,582,6
181,582,7
182,586,3
183,590,1
184,591,7
185,592,3
186,599,3
187,604,1
188,605,1
189,607,12
190,607,6
191,611,16
192,613,3
193,616,5
194,616,7
195,619,8
196,623,6
197,631,3
198,634,10
199,634,6
200,648,1
201,649,1
202,651,10
203,654,2
204,654,3
205,659,2
206,661,2
207,668,5
208,672,4
209,675,2
210,677,8
211,679,2
212,679,4
213,681,9
214,682,26
215,684,1
216,684,3
217,694,1
218,694,4
219,696,2
220,696,16
221,697,3
222,698,7
223,705,1
224,709,2
225,710,4
226,710,4
227,712,4
228,714,3
229,719,1
230,721,3
231,726,9
232,728,4
233,730,3
234,733,2
235,734,8
236,736,6
237,740,4
238,743,3
239,743,1
240,744,2
241,745,1
242,748,1
243,751,2
244,754,2
245,756,1
246,757,1
247,765,3
248,765,1
249,766,3
250,771,2
251,774,4
252,775,2
253,777,4
254,779,1
255,780,1
256,781,2
257,783,16
258,786,2
259,786,3
260,791,4
261,794,1
262,795,2
263,797,3
264,800,8
265,802,3
266,805,4
267,806,3
268,808,9
269,814,4
270,815,10
271,818,3
272,819,8
273,826,7
274,829,8
275,833,2
276,839,5
277,841,3
278,842,1
279,846,3
280,848,4
281,850,1
282,868,3
283,869,11
284,872,1
285,875,7
286,882,14
287,888,1
288,888,1
289,891,8
290,894,2
291,895,1
292,901,1
293,906,12
294,906,1
295,914,1
296,915,3
297,918,11
298,920,5
299,924,4
300,926,17
301,927,2
